age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
42,admin,divorced,secondary,no,2133,yes,no,cellular,5,may,89,5,-1,0,unknown,0
49,management,married,tertiary,no,0,yes,no,cellular,18,nov,102,1,-1,0,unknown,0
45,services,married,secondary,no,350,yes,yes,unknown,13,may,146,1,-1,0,unknown,0
50,blue,married,secondary,no,917,yes,no,cellular,30,jul,58,2,-1,0,unknown,0
30,technician,single,secondary,no,194,no,yes,cellular,27,aug,60,3,-1,0,unknown,0
24,blue,single,secondary,no,578,yes,no,cellular,17,apr,385,5,-1,0,unknown,0
51,blue,married,primary,no,165,yes,no,telephone,14,aug,313,2,-1,0,unknown,0
39,technician,married,secondary,no,1587,yes,no,cellular,2,jun,171,3,-1,0,unknown,1
43,management,married,unknown,no,5172,yes,no,unknown,29,may,57,3,-1,0,unknown,0
52,self,married,primary,no,-107,yes,yes,unknown,20,jun,134,2,-1,0,unknown,0
52,housemaid,married,secondary,no,1182,yes,no,cellular,18,nov,103,1,-1,0,unknown,0
52,blue,married,secondary,no,5614,yes,no,unknown,20,jun,177,3,-1,0,unknown,0
48,management,married,tertiary,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,0
46,admin,divorced,secondary,no,99,no,no,unknown,14,jul,18,1,-1,0,unknown,0
33,housemaid,married,primary,no,209,no,no,cellular,12,aug,76,4,-1,0,unknown,0
31,services,divorced,secondary,no,81,yes,no,cellular,16,apr,139,1,-1,0,unknown,0
45,technician,divorced,secondary,no,809,yes,no,cellular,13,may,155,2,363,4,failure,0
34,blue,married,unknown,no,41,yes,no,cellular,6,may,34,9,-1,0,unknown,0
34,management,single,tertiary,no,1,no,no,cellular,19,nov,582,1,-1,0,unknown,0
42,management,married,tertiary,no,479,yes,no,unknown,28,may,217,2,-1,0,unknown,0
78,retired,married,primary,no,832,no,no,telephone,11,may,97,3,-1,0,unknown,0
35,services,single,secondary,no,257,yes,no,unknown,2,jun,518,1,-1,0,unknown,0
30,services,single,tertiary,no,717,yes,yes,cellular,15,may,116,1,-1,0,unknown,0
32,technician,single,tertiary,no,2626,yes,yes,cellular,7,may,217,2,351,2,other,0
46,management,married,tertiary,no,699,no,no,cellular,30,apr,970,1,87,1,failure,1
39,entrepreneur,married,secondary,no,689,no,no,cellular,30,jul,240,3,-1,0,unknown,0
37,management,married,tertiary,no,1060,no,no,cellular,20,nov,125,3,-1,0,unknown,0
28,admin,single,secondary,no,762,no,no,cellular,18,sep,115,3,-1,0,unknown,1
30,management,single,tertiary,no,1108,yes,yes,unknown,9,may,261,1,-1,0,unknown,0
45,blue,single,secondary,no,-100,yes,no,cellular,9,jul,93,1,-1,0,unknown,0
51,self,married,secondary,no,1377,no,no,unknown,20,jun,9,2,-1,0,unknown,0
42,blue,married,primary,no,1687,yes,no,cellular,18,may,14,3,178,3,other,0
41,management,married,tertiary,no,4,yes,no,cellular,15,jul,63,2,-1,0,unknown,0
59,housemaid,divorced,tertiary,no,0,no,no,cellular,20,apr,379,1,332,2,other,0
32,management,single,tertiary,yes,4,no,no,cellular,29,jan,181,1,-1,0,unknown,0
46,admin,married,primary,no,469,yes,no,cellular,2,feb,75,1,264,10,other,0
43,unemployed,single,primary,no,698,yes,no,unknown,14,may,322,1,-1,0,unknown,0
50,unemployed,divorced,secondary,no,32,no,no,cellular,4,aug,282,2,-1,0,unknown,0
27,admin,single,secondary,no,13,yes,no,telephone,8,jul,103,1,-1,0,unknown,0
47,services,married,secondary,no,-553,yes,no,cellular,13,may,8,7,-1,0,unknown,0
35,housemaid,married,primary,no,0,no,yes,telephone,9,jul,17,1,-1,0,unknown,0
50,management,single,tertiary,no,3537,no,no,unknown,24,oct,305,1,-1,0,unknown,1
45,blue,married,secondary,no,27,yes,no,unknown,12,may,299,5,-1,0,unknown,0
33,technician,single,tertiary,no,196,yes,no,cellular,12,may,183,5,-1,0,unknown,0
35,technician,married,secondary,no,700,yes,no,unknown,23,may,240,2,-1,0,unknown,0
46,blue,married,tertiary,no,3745,no,no,cellular,19,oct,82,1,-1,0,unknown,0
39,blue,married,primary,no,398,yes,no,cellular,12,may,256,1,-1,0,unknown,0
34,management,married,tertiary,no,2640,yes,no,cellular,6,may,181,1,-1,0,unknown,0
34,blue,divorced,primary,no,172,yes,no,cellular,17,apr,306,1,-1,0,unknown,0
42,self,married,secondary,no,3211,no,no,cellular,19,nov,87,2,111,1,failure,0
23,technician,single,secondary,no,632,yes,no,cellular,5,may,248,1,-1,0,unknown,0
36,technician,married,secondary,no,644,no,no,unknown,4,jul,133,1,-1,0,unknown,0
38,services,divorced,unknown,no,6360,no,no,unknown,20,jun,1409,2,-1,0,unknown,1
41,technician,married,secondary,no,0,no,no,cellular,11,mar,101,1,-1,0,unknown,0
50,admin,single,secondary,no,167,no,yes,cellular,28,jul,201,3,-1,0,unknown,0
45,admin,married,secondary,no,25,yes,no,unknown,28,may,82,4,-1,0,unknown,0
37,blue,married,secondary,no,1736,no,yes,unknown,18,jun,66,1,-1,0,unknown,0
49,technician,married,secondary,no,1091,no,no,telephone,30,jul,47,2,-1,0,unknown,0
34,management,married,tertiary,no,580,yes,no,cellular,10,jul,380,1,-1,0,unknown,0
45,housemaid,married,primary,no,4994,no,no,unknown,20,jun,48,1,-1,0,unknown,0
39,admin,divorced,secondary,no,765,no,no,unknown,9,jun,155,3,-1,0,unknown,0
33,technician,married,tertiary,no,74,no,no,cellular,25,aug,116,4,-1,0,unknown,0
42,unemployed,single,secondary,no,714,no,no,cellular,31,jul,145,4,-1,0,unknown,0
47,unemployed,married,primary,no,2946,no,no,unknown,5,jun,60,1,-1,0,unknown,0
73,retired,single,secondary,no,1050,no,no,cellular,4,sep,73,2,-1,0,unknown,0
48,blue,married,secondary,no,-202,yes,yes,cellular,30,jul,225,4,-1,0,unknown,0
30,technician,married,tertiary,no,81,no,no,cellular,28,aug,51,1,-1,0,unknown,0
29,management,married,primary,no,5547,no,no,cellular,3,jul,236,2,-1,0,unknown,0
32,housemaid,married,tertiary,no,357,yes,no,cellular,3,feb,133,3,77,2,failure,0
31,unemployed,single,secondary,no,199,yes,no,unknown,16,may,86,1,-1,0,unknown,0
28,technician,single,secondary,no,1589,yes,no,cellular,18,may,359,5,-1,0,unknown,0
54,technician,married,secondary,no,187,no,yes,cellular,4,jul,273,3,-1,0,unknown,0
42,technician,married,secondary,no,1013,no,yes,cellular,28,aug,117,8,-1,0,unknown,0
53,housemaid,married,unknown,no,0,no,no,cellular,22,aug,207,1,-1,0,unknown,0
48,blue,married,primary,no,147,no,no,cellular,19,aug,158,8,-1,0,unknown,0
42,unemployed,single,secondary,no,1523,yes,no,cellular,2,feb,736,1,-1,0,unknown,0
27,admin,married,tertiary,no,73,no,no,cellular,10,feb,159,1,-1,0,unknown,1
30,blue,married,secondary,no,664,no,yes,telephone,14,may,57,1,-1,0,unknown,0
32,technician,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,0
37,management,single,tertiary,no,698,no,no,cellular,8,sep,1081,2,-1,0,unknown,1
45,services,married,secondary,no,759,yes,no,unknown,2,jun,172,2,-1,0,unknown,0
35,management,single,tertiary,no,1750,yes,no,cellular,22,oct,422,1,175,4,success,0
39,technician,married,secondary,no,738,no,yes,cellular,29,jul,90,2,-1,0,unknown,0
41,management,married,tertiary,no,298,no,no,cellular,4,may,63,3,272,1,other,0
36,technician,divorced,secondary,no,409,yes,no,unknown,20,may,25,1,-1,0,unknown,0
52,services,divorced,secondary,no,220,yes,no,unknown,7,may,143,3,-1,0,unknown,0
49,blue,divorced,secondary,yes,259,no,no,unknown,16,may,283,2,-1,0,unknown,0
46,entrepreneur,divorced,secondary,no,1187,no,yes,cellular,13,oct,92,1,327,1,failure,0
37,blue,married,primary,no,1455,yes,no,unknown,21,may,165,2,-1,0,unknown,0
45,blue,married,secondary,no,-96,no,no,cellular,28,jan,517,2,-1,0,unknown,0
45,technician,divorced,secondary,no,415,yes,no,cellular,6,feb,74,3,-1,0,unknown,0
71,retired,divorced,secondary,no,0,no,no,cellular,26,feb,771,1,171,1,success,1
33,management,single,tertiary,no,131,yes,no,cellular,12,oct,209,3,427,2,failure,1
45,blue,married,primary,no,103,no,no,cellular,28,jan,64,3,-1,0,unknown,0
36,management,married,tertiary,no,495,no,no,cellular,5,aug,157,3,97,2,success,1
35,technician,married,tertiary,no,489,no,no,cellular,5,aug,592,2,-1,0,unknown,0
30,blue,single,secondary,no,-110,yes,no,cellular,6,may,428,1,-1,0,unknown,0
57,technician,divorced,secondary,no,77,yes,yes,cellular,29,jan,168,3,246,2,failure,0
42,technician,married,secondary,no,534,no,no,cellular,5,aug,314,1,-1,0,unknown,0
44,entrepreneur,married,secondary,no,860,yes,yes,cellular,6,may,96,2,295,5,failure,0
29,technician,married,secondary,no,1599,yes,no,cellular,28,oct,95,1,112,2,failure,0
56,blue,married,secondary,no,385,no,no,cellular,20,aug,210,3,-1,0,unknown,0
33,blue,single,secondary,yes,-60,no,no,unknown,6,may,243,1,-1,0,unknown,0
25,blue,single,secondary,no,0,no,no,cellular,23,apr,163,1,-1,0,unknown,1
27,admin,married,secondary,no,897,no,no,cellular,5,jun,397,1,-1,0,unknown,1
46,self,divorced,tertiary,no,926,yes,no,cellular,19,nov,168,2,153,1,other,0
50,services,married,secondary,yes,0,no,no,telephone,31,jul,35,9,-1,0,unknown,0
47,blue,married,primary,no,4157,no,no,unknown,11,jun,90,3,-1,0,unknown,0
36,services,single,secondary,no,0,yes,no,cellular,15,may,1002,4,-1,0,unknown,1
36,management,married,tertiary,no,203,no,no,cellular,25,jan,255,1,88,1,success,1
38,technician,single,secondary,no,294,no,yes,cellular,25,jul,172,2,-1,0,unknown,0
42,entrepreneur,married,secondary,no,0,yes,no,cellular,9,apr,331,1,140,4,failure,1
30,blue,single,primary,no,4009,yes,no,unknown,23,may,260,4,-1,0,unknown,0
50,management,married,tertiary,no,4,no,no,cellular,17,nov,223,1,96,2,failure,0
31,technician,single,tertiary,no,162,no,no,cellular,28,aug,13,9,-1,0,unknown,0
38,admin,married,secondary,no,1073,yes,no,unknown,21,may,207,2,-1,0,unknown,0
57,retired,married,secondary,no,-418,no,yes,unknown,27,jun,95,1,-1,0,unknown,0
47,services,single,unknown,no,1784,no,no,cellular,19,oct,385,2,-1,0,unknown,1
27,unemployed,single,secondary,no,0,yes,no,cellular,6,may,153,1,-1,0,unknown,0
36,services,married,secondary,no,0,yes,yes,cellular,15,jul,201,4,-1,0,unknown,0
54,services,married,secondary,no,171,no,yes,cellular,14,jul,673,8,-1,0,unknown,0
49,management,married,tertiary,no,502,no,no,cellular,22,aug,379,4,-1,0,unknown,0
41,admin,divorced,secondary,no,783,yes,yes,cellular,14,may,135,3,363,2,failure,0
23,technician,single,secondary,no,283,yes,no,cellular,22,sep,175,1,184,2,success,1
32,management,married,tertiary,no,4761,yes,no,cellular,5,may,159,2,350,2,failure,0
45,blue,married,primary,no,512,no,no,cellular,26,aug,123,2,-1,0,unknown,0
47,blue,married,secondary,no,273,yes,no,unknown,4,jun,163,1,-1,0,unknown,0
45,management,married,tertiary,no,1529,no,no,cellular,30,jun,160,1,-1,0,unknown,0
58,management,married,tertiary,no,0,no,no,cellular,28,aug,67,19,-1,0,unknown,0
31,management,married,tertiary,no,1514,no,no,cellular,12,aug,284,2,-1,0,unknown,0
53,retired,married,tertiary,no,1778,no,no,cellular,19,nov,186,2,-1,0,unknown,0
37,admin,single,tertiary,no,1000,yes,no,cellular,17,mar,195,1,-1,0,unknown,1
41,blue,married,secondary,no,167,no,no,unknown,20,jun,48,1,-1,0,unknown,0
50,admin,married,secondary,no,697,no,no,cellular,14,aug,118,4,-1,0,unknown,0
33,technician,single,tertiary,no,2340,no,no,cellular,31,aug,65,5,97,3,failure,0
37,blue,single,secondary,no,336,yes,no,unknown,12,may,152,5,-1,0,unknown,0
50,management,married,tertiary,no,332,yes,no,unknown,2,jun,68,4,-1,0,unknown,0
43,blue,married,primary,no,-25,yes,no,cellular,12,may,254,4,365,2,failure,0
36,blue,married,secondary,no,513,yes,no,unknown,16,may,427,3,-1,0,unknown,0
26,management,single,tertiary,no,383,no,no,cellular,6,feb,645,2,-1,0,unknown,0
31,technician,single,tertiary,no,424,no,no,cellular,21,aug,93,2,-1,0,unknown,0
50,management,married,unknown,no,3304,no,no,unknown,5,jun,1009,2,-1,0,unknown,0
45,services,single,secondary,no,71,yes,no,cellular,17,jul,479,1,-1,0,unknown,0
33,technician,single,secondary,no,211,yes,yes,cellular,6,feb,217,2,-1,0,unknown,0
44,services,divorced,secondary,no,496,yes,yes,unknown,29,may,54,15,-1,0,unknown,0
45,technician,divorced,secondary,no,29,no,no,unknown,12,jun,385,1,-1,0,unknown,0
33,self,married,tertiary,no,1278,no,no,cellular,6,oct,649,1,-1,0,unknown,1
46,technician,married,secondary,no,190,yes,no,cellular,12,aug,370,2,-1,0,unknown,0
34,blue,married,secondary,no,622,yes,no,unknown,21,may,145,1,-1,0,unknown,0
29,admin,single,secondary,no,1261,no,no,cellular,5,feb,605,1,-1,0,unknown,0
32,blue,married,secondary,no,783,yes,no,unknown,21,may,923,3,-1,0,unknown,1
44,unemployed,married,secondary,no,1590,yes,no,unknown,12,jun,349,1,-1,0,unknown,0
46,services,divorced,secondary,no,0,no,no,unknown,20,jun,1023,3,-1,0,unknown,1
57,blue,married,primary,yes,195,no,yes,telephone,30,jul,185,4,-1,0,unknown,0
38,blue,married,primary,no,5643,yes,no,cellular,18,may,106,2,362,1,failure,0
31,admin,married,secondary,no,1229,no,no,cellular,12,apr,176,1,-1,0,unknown,1
30,blue,married,secondary,no,578,yes,yes,unknown,4,jun,48,1,-1,0,unknown,0
25,technician,single,secondary,no,945,yes,no,cellular,24,jul,561,4,-1,0,unknown,0
38,technician,divorced,secondary,no,5733,yes,no,cellular,12,may,173,8,278,4,failure,0
36,self,married,secondary,no,0,yes,no,cellular,11,may,198,1,-1,0,unknown,0
45,unemployed,single,secondary,no,17609,no,no,cellular,9,feb,222,6,-1,0,unknown,0
32,management,married,tertiary,no,258,yes,yes,cellular,18,nov,197,1,-1,0,unknown,0
52,management,married,secondary,no,2216,yes,yes,cellular,14,may,161,1,332,8,failure,0
38,blue,married,primary,no,3195,no,no,cellular,7,sep,244,2,-1,0,unknown,0
34,technician,married,secondary,no,-259,yes,no,unknown,27,may,124,2,-1,0,unknown,0
36,services,married,primary,no,795,no,yes,cellular,8,jul,215,2,-1,0,unknown,0
53,blue,married,primary,no,10,yes,no,unknown,19,may,73,1,-1,0,unknown,0
44,management,married,tertiary,no,736,no,no,cellular,21,nov,71,9,-1,0,unknown,0
37,technician,married,secondary,no,1142,yes,no,cellular,17,jul,309,2,-1,0,unknown,0
53,self,divorced,tertiary,no,1841,no,no,unknown,12,jun,403,5,-1,0,unknown,0
26,management,single,tertiary,no,390,no,no,cellular,7,aug,325,1,-1,0,unknown,1
36,self,divorced,tertiary,no,149,no,no,cellular,18,nov,257,2,-1,0,unknown,0
65,admin,married,secondary,no,952,no,no,cellular,6,sep,255,1,96,1,success,1
54,blue,married,primary,no,2110,yes,no,cellular,16,apr,618,1,-1,0,unknown,0
26,technician,single,tertiary,no,813,yes,no,unknown,29,may,140,3,-1,0,unknown,0
46,blue,divorced,primary,no,1712,no,no,unknown,19,jun,110,1,-1,0,unknown,0
44,management,married,tertiary,no,529,yes,no,unknown,4,jun,129,4,-1,0,unknown,0
27,services,single,secondary,no,4923,yes,no,unknown,19,may,57,7,-1,0,unknown,0
40,blue,married,primary,no,665,yes,no,cellular,5,feb,177,3,211,1,success,0
41,management,single,tertiary,no,0,no,no,cellular,31,jul,24,4,-1,0,unknown,0
40,admin,married,secondary,no,275,yes,no,cellular,9,jul,139,1,-1,0,unknown,0
30,admin,single,tertiary,no,726,no,no,cellular,29,jan,103,1,-1,0,unknown,0
38,management,single,tertiary,no,11971,yes,no,unknown,17,nov,609,2,101,3,failure,0
59,retired,married,secondary,no,836,yes,no,unknown,7,may,106,1,-1,0,unknown,0
36,technician,single,secondary,no,7503,yes,no,telephone,5,may,193,1,335,1,failure,0
57,management,married,tertiary,no,1287,yes,no,cellular,8,apr,180,2,-1,0,unknown,0
38,services,married,secondary,no,0,yes,yes,cellular,11,jul,184,2,-1,0,unknown,0
39,management,single,tertiary,no,0,yes,no,cellular,22,may,271,1,93,3,success,1
23,admin,single,secondary,no,178,yes,no,unknown,16,may,107,1,-1,0,unknown,0
56,management,divorced,tertiary,no,2037,no,no,cellular,6,may,160,1,91,5,success,0
34,blue,married,secondary,no,1207,yes,no,unknown,21,may,905,1,-1,0,unknown,1
32,management,married,tertiary,no,6138,no,no,cellular,29,jul,519,2,90,9,failure,1
29,blue,single,secondary,no,922,yes,no,cellular,18,may,72,1,-1,0,unknown,0
82,retired,married,secondary,no,276,no,no,telephone,17,aug,199,1,-1,0,unknown,1
48,blue,married,unknown,no,2201,yes,no,unknown,29,may,364,2,-1,0,unknown,0
30,management,single,tertiary,no,1028,no,no,cellular,4,feb,1294,2,-1,0,unknown,1
27,admin,divorced,secondary,no,112,yes,no,unknown,19,may,104,1,-1,0,unknown,0
51,services,divorced,secondary,no,12,yes,no,cellular,17,nov,150,1,-1,0,unknown,0
55,housemaid,divorced,primary,no,77,no,no,cellular,31,jul,463,6,-1,0,unknown,1
41,technician,married,tertiary,no,725,yes,yes,unknown,27,may,87,3,-1,0,unknown,0
31,management,single,tertiary,no,2915,no,no,cellular,30,apr,228,1,86,1,failure,0
26,technician,single,secondary,no,4859,no,no,cellular,19,oct,90,2,92,3,other,0
46,blue,married,primary,no,0,yes,yes,unknown,8,may,390,3,-1,0,unknown,0
36,admin,married,secondary,no,-106,yes,no,unknown,6,may,130,2,-1,0,unknown,0
37,technician,married,secondary,no,1610,no,no,unknown,16,jun,140,2,-1,0,unknown,0
35,technician,married,tertiary,no,393,no,no,cellular,29,aug,150,2,-1,0,unknown,0
29,blue,divorced,unknown,no,17,yes,no,unknown,13,may,31,2,-1,0,unknown,0
49,admin,married,tertiary,no,6574,no,no,cellular,8,jun,138,3,-1,0,unknown,1
32,blue,married,primary,no,1138,yes,yes,unknown,6,jun,164,4,-1,0,unknown,0
33,blue,married,primary,no,2861,yes,no,cellular,20,apr,128,3,-1,0,unknown,0
37,entrepreneur,married,primary,no,0,no,no,cellular,25,may,163,1,-1,0,unknown,0
43,unemployed,married,tertiary,no,0,no,no,cellular,18,oct,464,1,94,2,success,1
23,services,single,secondary,no,-39,yes,yes,unknown,9,may,142,2,-1,0,unknown,0
38,blue,married,secondary,no,530,yes,no,cellular,20,apr,59,3,-1,0,unknown,0
44,services,married,secondary,no,1872,yes,no,cellular,6,may,175,1,322,3,failure,0
36,technician,married,secondary,no,264,yes,yes,cellular,9,jul,482,1,-1,0,unknown,0
30,technician,married,secondary,no,-280,yes,no,cellular,17,apr,609,2,266,2,failure,0
48,management,married,secondary,no,99,yes,no,unknown,28,may,344,1,-1,0,unknown,0
26,unemployed,single,secondary,no,340,no,no,cellular,28,jan,128,1,-1,0,unknown,0
35,technician,married,secondary,no,3297,yes,no,cellular,29,jul,193,15,-1,0,unknown,0
29,blue,divorced,secondary,no,-19,yes,no,cellular,20,apr,712,4,-1,0,unknown,1
41,blue,married,secondary,no,563,yes,no,cellular,20,apr,142,12,348,1,failure,0
38,admin,married,secondary,no,981,yes,yes,cellular,8,may,134,2,-1,0,unknown,0
49,management,single,tertiary,no,493,no,no,cellular,1,jun,161,1,39,1,failure,0
33,entrepreneur,married,tertiary,no,12,yes,no,cellular,12,may,137,1,-1,0,unknown,0
32,services,married,secondary,no,580,yes,no,cellular,30,apr,69,1,-1,0,unknown,0
50,entrepreneur,married,secondary,no,556,yes,no,unknown,16,may,130,2,-1,0,unknown,0
30,management,married,tertiary,no,1942,yes,yes,cellular,21,nov,436,2,178,3,other,1
40,admin,single,secondary,no,50,no,no,cellular,15,may,837,1,-1,0,unknown,1
35,services,married,secondary,no,347,yes,no,cellular,6,may,282,4,-1,0,unknown,0
52,blue,married,primary,no,1364,yes,no,cellular,6,aug,164,2,-1,0,unknown,0
33,admin,married,secondary,no,95,yes,no,cellular,10,aug,155,1,102,1,success,0
31,technician,single,secondary,no,46,no,no,cellular,27,aug,313,6,-1,0,unknown,0
28,blue,married,secondary,no,1238,yes,no,unknown,14,may,246,1,-1,0,unknown,0
52,management,married,tertiary,no,31,no,no,cellular,10,mar,135,1,-1,0,unknown,1
30,blue,married,secondary,no,393,yes,no,cellular,17,apr,1034,2,-1,0,unknown,0
33,technician,married,secondary,no,133,no,no,cellular,12,nov,627,2,192,1,success,1
47,management,single,tertiary,no,1187,no,no,cellular,31,jul,1739,7,-1,0,unknown,0
36,management,married,secondary,no,1160,yes,no,cellular,15,apr,56,1,323,3,failure,0
38,blue,married,primary,no,2469,yes,no,cellular,21,jul,66,1,-1,0,unknown,0
52,blue,married,primary,no,382,no,yes,cellular,26,aug,98,7,-1,0,unknown,0
31,entrepreneur,married,secondary,no,15,no,yes,cellular,29,jan,190,2,-1,0,unknown,0
34,management,married,tertiary,no,1778,no,no,cellular,4,nov,358,1,162,2,failure,1
32,management,single,tertiary,no,1310,no,no,cellular,12,aug,418,3,-1,0,unknown,0
31,housemaid,single,tertiary,no,287,yes,no,cellular,19,nov,182,1,-1,0,unknown,0
34,management,married,unknown,yes,-353,yes,no,unknown,15,may,328,1,-1,0,unknown,0
34,services,married,secondary,yes,421,yes,no,unknown,20,may,247,3,-1,0,unknown,0
54,management,single,tertiary,no,2419,yes,no,cellular,12,aug,139,2,-1,0,unknown,0
37,technician,married,tertiary,no,6968,no,no,cellular,1,jun,175,1,-1,0,unknown,0
55,blue,married,primary,no,761,no,no,unknown,18,jun,67,1,-1,0,unknown,0
31,services,single,secondary,yes,-21,no,yes,cellular,25,jul,507,1,-1,0,unknown,0
47,housemaid,single,primary,no,2785,yes,no,cellular,13,may,570,1,-1,0,unknown,1
51,blue,married,primary,no,1164,yes,no,cellular,12,may,100,1,369,2,failure,0
43,technician,single,secondary,no,1462,no,no,unknown,9,jun,75,2,-1,0,unknown,0
51,blue,married,secondary,no,4695,no,no,cellular,29,aug,8,10,-1,0,unknown,0
47,blue,married,secondary,no,2775,no,no,unknown,14,may,262,1,-1,0,unknown,0
53,technician,married,secondary,no,1835,yes,no,cellular,21,nov,184,2,-1,0,unknown,0
57,admin,married,secondary,no,808,no,no,cellular,14,jul,417,3,-1,0,unknown,0
45,technician,married,secondary,no,2981,yes,yes,cellular,29,mar,88,3,311,3,failure,0
45,blue,married,secondary,no,4509,yes,no,unknown,15,may,135,1,-1,0,unknown,0
57,entrepreneur,married,primary,no,6,yes,no,cellular,24,jul,126,6,-1,0,unknown,0
29,blue,married,secondary,no,15,yes,yes,unknown,9,may,432,2,-1,0,unknown,0
25,management,married,tertiary,no,0,yes,no,cellular,31,jul,20,31,-1,0,unknown,0
33,management,single,tertiary,no,5437,no,no,cellular,10,aug,131,1,98,2,success,0
34,management,married,secondary,no,1105,yes,yes,unknown,2,jun,136,4,-1,0,unknown,0
30,blue,single,secondary,no,49,no,no,cellular,30,jan,808,2,-1,0,unknown,1
54,self,married,secondary,no,153,yes,no,unknown,5,jun,40,1,-1,0,unknown,0
42,technician,divorced,tertiary,no,7190,yes,no,cellular,29,jul,375,2,-1,0,unknown,0
33,admin,married,secondary,no,1737,no,no,cellular,14,aug,228,2,106,2,failure,0
38,technician,married,tertiary,no,52,yes,no,cellular,14,apr,82,4,-1,0,unknown,0
32,management,single,secondary,no,6,yes,no,unknown,15,may,228,1,-1,0,unknown,0
31,management,single,tertiary,no,3,no,no,cellular,4,feb,406,2,-1,0,unknown,0
30,management,married,tertiary,no,1195,no,no,cellular,18,jul,146,2,-1,0,unknown,0
47,technician,married,secondary,no,3519,no,yes,telephone,22,may,152,1,-1,0,unknown,0
